iter	Passed	Remaining
0	1	112
1	1	97
2	2	91
3	3	83
4	4	82
5	5	81
6	6	81
7	7	83
8	8	84
9	9	83
10	10	81
11	10	80
12	11	78
13	12	76
14	13	74
15	13	73
16	14	72
17	15	71
18	16	70
19	17	69
20	18	67
21	18	66
22	19	65
23	20	64
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	25	58
30	26	57
31	26	56
32	27	55
33	28	54
34	28	53
35	29	53
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	35	46
43	35	45
44	36	44
45	37	44
46	38	43
47	38	42
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	37
54	44	36
55	45	35
56	46	35
57	47	34
58	48	33
59	49	32
60	50	31
61	50	31
62	51	30
63	52	29
64	53	28
65	54	27
66	54	27
67	55	26
68	56	25
69	57	24
70	58	23
71	58	22
72	59	22
73	60	21
74	61	20
75	62	19
76	62	18
77	63	17
78	64	17
79	65	16
80	66	15
81	67	14
82	67	13
83	68	13
84	69	12
85	70	11
86	71	10
87	71	9
88	72	8
89	73	8
90	74	7
91	75	6
92	76	5
93	76	4
94	77	4
95	78	3
96	79	2
97	80	1
98	80	0
99	81	0
